scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
187,1076.9148,50.362587,1.0,1086.8009,20.437128,0.7697654,1111.738,59.526226,0.7972601
188,1077.9526,50.485462,0.97933674,1086.7991,20.58161,0.76963574,1112.849,59.800247,0.81653947
189,1077.8475,51.057636,0.9732107,1087.3928,20.956573,0.7634908,1113.1566,59.58808,0.8392499
190,1077.6134,50.971268,0.9759614,1086.7753,20.914186,0.7622557,1112.6298,58.982113,0.82016665
191,1077.6088,51.07151,0.98926425,1087.076,21.214275,0.760749,1112.2509,59.37977,0.8282868
192,1078.2712,51.46355,0.9811179,1087.4984,21.649136,0.77672356,1112.8075,59.479866,0.8507178
193,1078.1702,52.599133,0.9880373,1087.3081,22.04184,0.7816346,1113.5566,60.09089,0.8449446
194,1078.2069,52.445255,0.9928274,1087.3727,21.83182,0.79817545,1113.8088,59.762035,0.84887654
195,1078.4679,52.867004,0.9713658,1087.321,21.695652,0.78266305,1114.3754,60.422592,0.82484174
196,1077.9028,53.587387,0.9625552,1087.8365,22.459871,0.7578472,1114.2157,61.10562,0.8629146
197,1077.78,54.101387,0.94383854,1086.5461,22.65883,0.70221317,1114.3307,61.330135,0.8504608
198,1077.8126,54.789227,0.9384988,1085.5526,22.882284,0.6985185,1113.4763,61.04837,0.8268308
199,1077.6462,55.604935,0.94233143,1085.3064,23.79944,0.7638098,1113.5383,62.101368,0.8294063
200,1078.4092,55.547516,0.9517941,1086.3862,24.41858,0.77685654,1113.9814,62.44924,0.824367
201,1078.284,55.87325,0.94391054,1086.4916,25.253418,0.8060059,1113.9727,62.921387,0.8718225
202,1078.562,56.04751,0.94180006,1085.732,25.231209,0.79404026,1114.3265,62.435364,0.8689789
203,1078.5654,56.321262,0.93146425,1085.2217,25.45787,0.7772235,1114.2952,62.89576,0.85881585
204,1077.6338,56.41978,0.9296955,1085.0236,25.733713,0.7654842,1113.7322,63.407425,0.855325
205,1078.4739,56.80232,0.9265842,1085.3423,26.38842,0.73060346,1114.359,65.04094,0.8752609
206,1076.9921,57.171673,0.94993806,1084.9403,26.713772,0.788321,1112.6526,64.15764,0.88634974
207,1077.0017,57.796215,0.98584574,1084.9778,27.343067,0.7913686,1113.2347,65.65571,0.9013147
